"","x","group","mean","lower","upper","N"
"1","<1990","<=10",56.346997691745,55.8901007007105,56.8038946827794,5474
"2","<1990",">10",58.1868525388949,57.0053236702421,59.3683814075476,592
"3","1990-1995","<=10",54.1491950324808,53.6913921947634,54.6069978701982,5863
"4","1990-1995",">10",52.5221747198424,50.9512411460016,54.0931082936831,409
"5","1995-2000","<=10",49.603396205966,49.1882290181317,50.0185633938002,9280
"6","1995-2000",">10",36.1333586876239,34.2834712432649,37.9832461319828,598
"7","2000-2005","<=10",45.9625512152075,45.6751945082068,46.2499079222083,22847
"8","2000-2005",">10",28.5522387341591,27.3955519614658,29.7089255068524,1449
"9","2005-2010","<=10",41.6145064363407,41.3812104363161,41.8478024363653,38587
"10","2005-2010",">10",29.8157836765397,28.8357678018441,30.7957995512353,2148
"11","2010-2018","<=10",37.0549137348292,36.8933292625005,37.2164982071579,83314
"12","2010-2018",">10",27.8115555553663,27.233638278883,28.3894728318495,6059
